Rank,Name,Price,Market Cap,Volume,Change
,1,"$67,246.23",5.51%,"$1.33T$1,326,274,887,799","$30,880,724,030458,950 BTC"
,2,"$3,514.68",7.81%,"$422.6B$422,603,563,038","$15,973,259,4504,541,504 ETH"
,3,$0.9997,0.02%,"$112.46B$112,464,781,544","$62,730,579,65762,748,140,691 USDT"
,4,$610.15,14.03%,"$89.98B$89,976,190,267","$2,315,059,9303,797,301 BNB"
,5,$150.89,13.23%,"$69.64B$69,644,628,494","$2,547,667,91016,884,239 SOL"
,6,$1.00,0.02%,"$32.21B$32,205,888,624","$5,673,383,4875,673,076,585 USDC"
,7,$0.4808,8.62%,"$26.68B$26,684,586,485","$1,258,238,7492,617,241,207 XRP"
,8,$0.1399,14.92%,"$20.21B$20,205,579,720","$1,126,162,2728,063,449,259 DOGE"
,9,$7.06,4.15%,"$17.18B$17,176,560,217","$230,865,76132,684,697 TON"
,10,$0.4247,8.34%,"$15.17B$15,169,265,379","$512,194,8451,206,125,665 ADA"
